iter	Passed	Remaining
584	3045	2160
585	3049	2154
586	3053	2148
587	3058	2142
588	3062	2136
589	3066	2130
590	3070	2125
591	3074	2119
592	3079	2113
593	3084	2107
594	3088	2102
595	3092	2096
596	3097	2090
597	3102	2085
598	3107	2080
599	3111	2074
600	3116	2068
601	3120	2063
602	3125	2057
603	3129	2051
604	3134	2046
605	3138	2040
606	3143	2035
607	3147	2029
608	3152	2023
609	3156	2018
610	3161	2012
611	3165	2007
612	3170	2001
613	3176	1996
614	3181	1991
615	3185	1985
616	3191	1980
617	3195	1975
618	3200	1970
619	3205	1964
620	3210	1959
621	3215	1954
622	3221	1949
623	3226	1944
624	3231	1938
625	3237	1934
626	3242	1929
627	3247	1923
628	3252	1918
629	3257	1912
630	3261	1907
631	3266	1902
632	3271	1896
633	3276	1891
634	3281	1885
635	3285	1880
636	3290	1875
637	3295	1869
638	3298	1863
639	3302	1857
640	3306	1851
641	3311	1846
642	3315	1840
643	3319	1835
644	3325	1830
645	3330	1825
646	3335	1820
647	3341	1814
648	3345	1809
649	3350	1804
650	3357	1799
651	3363	1795
652	3368	1790
653	3373	1784
654	3377	1779
655	3384	1774
656	3390	1769
657	3395	1764
658	3402	1760
659	3408	1755
660	3414	1751
661	3420	1746
662	3426	1741
663	3432	1737
664	3439	1732
665	3445	1727
666	3450	1722
667	3455	1717
668	3460	1712
669	3465	1706
670	3470	1701
671	3475	1696
672	3479	1690
673	3484	1685
674	3490	1680
675	3495	1675
676	3500	1669
677	3504	1664
678	3509	1659
679	3514	1653
680	3519	1648
681	3524	1643
682	3529	1638
683	3534	1633
684	3539	1627
685	3544	1622
686	3549	1617
687	3553	1611
688	3558	1606
689	3563	1601
690	3568	1595
691	3574	1590
692	3578	1585
693	3583	1579
694	3587	1574
695	3592	1569
696	3596	1563
697	3601	1558
698	3605	1552
699	3609	1547
700	3614	1541
701	3621	1537
702	3626	1532
703	3631	1526
704	3635	1521
705	3640	1515
706	3644	1510
707	3649	1505
708	3654	1499
709	3658	1494
710	3663	1488
711	3667	1483
712	3672	1478
713	3677	1472
714	3682	1467
715	3686	1462
716	3691	1457
717	3696	1451
718	3700	1446
719	3705	1441
720	3710	1435
721	3715	1430
722	3719	1425
723	3724	1419
724	3729	1414
725	3733	1409
726	3738	1403
727	3743	1398
728	3747	1393
729	3752	1387
730	3757	1382
731	3761	1377
732	3765	1371
733	3770	1366
734	3775	1361
735	3779	1355
736	3784	1350
737	3788	1345
738	3792	1339
739	3797	1334
740	3802	1328
741	3806	1323
742	3810	1318
743	3815	1312
744	3819	1307
745	3824	1302
746	3829	1296
747	3833	1291
748	3838	1286
749	3843	1281
750	3847	1275
751	3851	1270
752	3856	1264
753	3860	1259
754	3864	1254
755	3869	1248
756	3876	1244
757	3881	1239
758	3886	1233
759	3891	1228
760	3895	1223
761	3900	1218
762	3906	1213
763	3911	1208
764	3915	1202
765	3920	1197
766	3925	1192
767	3929	1187
768	3933	1181
769	3938	1176
770	3942	1171
771	3947	1165
772	3952	1160
773	3956	1155
774	3961	1149
775	3966	1144
776	3970	1139
777	3974	1134
778	3979	1128
779	3984	1123
780	3988	1118
781	3992	1113
782	3999	1108
783	4003	1103
784	4008	1097
785	4012	1092
786	4017	1087
787	4021	1082
788	4026	1076
789	4031	1071
790	4036	1066
791	4041	1061
792	4046	1056
793	4051	1051
794	4056	1045
795	4060	1040
796	4065	1035
797	4070	1030
798	4075	1025
799	4080	1020
800	4084	1014
801	4089	1009
802	4093	1004
803	4098	999
804	4103	993
805	4107	988
806	4112	983
807	4116	978
808	4121	972
809	4126	967
810	4131	962
811	4135	957
812	4140	952
813	4145	947
814	4150	942
815	4154	936
816	4159	931
817	4164	926
818	4168	921
819	4173	916
820	4179	911
821	4183	906
822	4188	900
823	4193	895
824	4198	890
825	4203	885
826	4208	880
827	4213	875
828	4219	870
829	4224	865
830	4228	859
831	4233	854
832	4238	849
833	4243	844
834	4247	839
835	4252	834
836	4258	829
837	4263	824
838	4268	819
839	4272	813
840	4277	808
841	4282	803
842	4286	798
843	4291	793
844	4296	788
845	4301	783
846	4306	777
847	4311	772
848	4317	767
849	4322	762
850	4328	757
851	4332	752
852	4338	747
853	4344	742
854	4349	737
855	4353	732
856	4360	727
857	4365	722
858	4370	717
859	4375	712
860	4380	707
861	4385	702
862	4390	697
863	4395	691
864	4400	686
865	4405	681
866	4409	676
867	4414	671
868	4420	666
869	4425	661
870	4430	656
871	4436	651
872	4440	646
873	4445	640
874	4467	638
875	4472	633
876	4476	627
877	4481	622
878	4486	617
879	4491	612
880	4497	607
881	4502	602
882	4513	598
883	4520	593
884	4527	588
885	4533	583
886	4540	578
887	4546	573
888	4552	568
889	4559	563
890	4565	558
891	4570	553
892	4577	548
893	4586	543
894	4592	538
895	4597	533
896	4602	528
897	4606	523
898	4611	518
899	4616	512
900	4621	507
901	4625	502
902	4630	497
903	4634	492
904	4639	486
905	4643	481
906	4648	476
907	4652	471
908	4657	466
909	4663	461
910	4667	455
911	4671	450
912	4676	445
913	4680	440
914	4685	435
915	4689	430
916	4694	424
917	4698	419
918	4702	414
919	4707	409
920	4711	404
921	4716	399
922	4721	393
